year,campus,campus_display,discipline,college_school_labels,applicants,admits,enrollees,admit_gpa,enrollee_gpa,admit_rate,yield_rate,selectivity_label
2025,UCSD,UC San Diego,Business,Not applicable,9040,1937,341,4.13 - 4.29,4.10 - 4.26,21.0,18.0,Highly Selective
2025,UCSD,UC San Diego,Computer Science,Not applicable,10785,2143,581,4.16 - 4.30,4.12 - 4.29,20.0,27.0,Highly Selective
2025,UCSD,UC San Diego,Education,Not applicable,1100,336,52,4.08 - 4.25,3.95 - 4.19,31.0,15.0,Selective
2025,UCSD,UC San Diego,Engineering,Not applicable,20205,3938,1074,4.17 - 4.30,4.12 - 4.29,19.0,27.0,Highly Selective
2025,UCSD,UC San Diego,Life Sciences,Not applicable,25093,8177,1752,4.15 - 4.29,4.11 - 4.28,33.0,21.0,Selective
2025,UCSD,UC San Diego,Other Health Science,Not applicable,2939,815,165,4.09 - 4.26,4.04 - 4.24,28.0,20.0,Selective
2025,UCSD,UC San Diego,Other/Interdisciplinary,Not applicable,10626,3246,660,4.09 - 4.28,4.04 - 4.26,31.0,20.0,Selective
2025,UCSD,UC San Diego,Physical Sciences/Math,Not applicable,12511,4924,1021,4.13 - 4.29,4.07 - 4.26,39.0,21.0,Selective
2025,UCSD,UC San Diego,Public Health,Not applicable,1760,305,44,4.08 - 4.26,4.00 - 4.27,17.0,14.0,Highly Selective
2025,UCSD,UC San Diego,Social Sciences,Not applicable,24878,6501,1262,4.08 - 4.28,4.02 - 4.25,26.0,19.0,Selective
2025,UCSD,UC San Diego,Undeclared,Not applicable,9433,3281,424,4.06 - 4.27,4.00 - 4.23,35.0,13.0,Selective
